feature,importance
DEPARTURE_DELAY,0.9006277604036735
DAY,0.06072641587870942
AIRLINE_DL,0.011501073515654527
AIRLINE_MQ,0.00652028718614862
AIRLINE_F9,0.006320224679306424
DISTANCE,0.0048131394178682705
AIRLINE_OO,0.0032865903335887723
MONTH,0.002791092481901754
AIRLINE_WN,0.0011052822770100405
AIRLINE_EV,0.0006349869217019432
AIRLINE_AA,0.0005823632989548636
AIRLINE_B6,0.0003384574386261659
AIRLINE_NK,0.000254459471195694
AIRLINE_UA,0.00017293244291691982
AIRLINE_VX,0.00015955015006352294
AIRLINE_AS,0.00013401063178966851
AIRLINE_HA,3.137347088987581e-05
AIRLINE_US,0.0
